batch	hash	dex	dex_id	spike
batch_2	5	5	A01_FTS	FALSE
batch_2	5	7	A01_TTD	FALSE
batch_2	5	8	A01_LTD	TRUE
batch_2	5	9	A01_PTD	FALSE
batch_2	5	15	A01_NTN	FALSE
batch_2	5	16	A01_DTD	FALSE
batch_2	6	5	A01_FTS	FALSE
batch_2	6	7	A01_TTD	FALSE
batch_2	6	8	A01_LTD	TRUE
batch_2	6	9	A01_PTD	FALSE
batch_2	6	15	A01_NTN	FALSE
batch_2	6	16	A01_DTD	FALSE
batch_2	7	1	A24_VYI	FALSE
batch_2	7	2	A24_QYI	TRUE
batch_2	7	3	A24_VYF	FALSE
batch_2	7	4	A24_NYN	TRUE
batch_2	8	1	A24_VYI	FALSE
batch_2	8	2	A24_QYI	TRUE
batch_2	8	3	A24_VYF	FALSE
batch_2	8	4	A24_NYN	TRUE
batch_2	9	1	A24_VYI	FALSE
batch_2	9	2	A24_QYI	TRUE
batch_2	9	3	A24_VYF	FALSE
batch_2	9	4	A24_NYN	TRUE
batch_2	9	5	A01_FTS	FALSE
batch_2	9	7	A01_TTD	FALSE
batch_2	9	8	A01_LTD	TRUE
batch_2	9	9	A01_PTD	FALSE
batch_2	9	15	A01_NTN	FALSE
batch_2	9	16	A01_DTD	FALSE
batch_2	10	1	A24_VYI	FALSE
batch_2	10	2	A24_QYI	TRUE
batch_2	10	3	A24_VYF	FALSE
batch_2	10	4	A24_NYN	TRUE
batch_2	10	5	A01_FTS	FALSE
batch_2	10	7	A01_TTD	FALSE
batch_2	10	8	A01_LTD	TRUE
batch_2	10	9	A01_PTD	FALSE
batch_2	10	15	A01_NTN	FALSE
batch_2	10	16	A01_DTD	FALSE
batch_3	2	10	A01_LTD	TRUE
batch_3	2	11	B44_AEV	TRUE
batch_3	2	13	B44_AEA	TRUE
batch_3	2	14	A02_YLQ	TRUE
batch_3	3	1	A02_LLY	FALSE
batch_3	3	2	A02_YLQ	TRUE
batch_3	3	3	A02_ALS	FALSE
batch_3	3	4	B44_QEL	FALSE
batch_3	3	11	B44_AEV	TRUE
batch_3	3	12	B44_VEN_H	FALSE
batch_3	3	13	B44_AEA	TRUE
batch_3	3	14	B44_VEN_M	FALSE
batch_3	4	1	A02_LLY	FALSE
batch_3	4	2	A02_YLQ	TRUE
batch_3	4	3	A02_ALS	FALSE
batch_3	4	4	B44_QEL	FALSE
batch_3	4	11	B44_AEV	TRUE
batch_3	4	12	B44_VEN_H	FALSE
batch_3	4	13	B44_AEA	TRUE
batch_3	4	14	B44_VEN_M	FALSE
batch_3	5	1	A02_LLY	FALSE
batch_3	5	3	A02_ALS	FALSE
batch_3	5	5	A01_FTS	FALSE
batch_3	5	7	A01_TTD	FALSE
batch_3	5	9	A01_PTD	FALSE
batch_3	5	10	A01_LTD	TRUE
batch_3	5	14	A02_YLQ	TRUE
batch_3	5	15	A01_NTN	FALSE
batch_3	5	16	A01_DTD	FALSE
batch_3	6	1	A02_LLY	FALSE
batch_3	6	3	A02_ALS	FALSE
batch_3	6	5	A01_FTS	FALSE
batch_3	6	7	A01_TTD	FALSE
batch_3	6	9	A01_PTD	FALSE
batch_3	6	10	A01_LTD	TRUE
batch_3	6	14	A02_YLQ	TRUE
batch_3	6	15	A01_NTN	FALSE
batch_3	6	16	A01_DTD	FALSE
batch_3	7	1	A02_LLY	FALSE
batch_3	7	2	A02_YLQ	TRUE
batch_3	7	3	A02_ALS	FALSE
batch_3	7	4	B44_QEL	FALSE
batch_3	7	11	B44_AEV	TRUE
batch_3	7	12	B44_VEN_H	FALSE
batch_3	7	13	B44_AEA	TRUE
batch_3	7	14	B44_VEN_M	FALSE
batch_3	8	1	A02_LLY	FALSE
batch_3	8	2	A02_YLQ	TRUE
batch_3	8	3	A02_ALS	FALSE
batch_3	8	4	B44_QEL	FALSE
batch_3	8	11	B44_AEV	TRUE
batch_3	8	12	B44_VEN_H	FALSE
batch_3	8	13	B44_AEA	TRUE
batch_3	8	14	B44_VEN_M	FALSE
batch_3	9	1	A24_VYI	FALSE
batch_3	9	2	A24_QYI	TRUE
batch_3	9	3	A24_VYF	FALSE
batch_3	9	4	B44_QEL	FALSE
batch_3	9	5	B15_NAF	TRUE
batch_3	9	8	B44_AEV	TRUE
batch_3	9	11	B15_NQF	TRUE
batch_3	9	12	B44_VEN_H	FALSE
batch_3	9	13	B44_AEA	TRUE
batch_3	9	14	B44_VEN_M	FALSE
batch_3	9	15	B15_RVA	FALSE
batch_3	9	16	A24_NYN	TRUE
batch_3	10	1	A24_VYI	FALSE
batch_3	10	2	A24_QYI	TRUE
batch_3	10	3	A24_VYF	FALSE
batch_3	10	4	B44_QEL	FALSE
batch_3	10	5	B15_NAF	TRUE
batch_3	10	8	B44_AEV	TRUE
batch_3	10	11	B15_NQF	TRUE
batch_3	10	12	B44_VEN_H	FALSE
batch_3	10	13	B44_AEA	TRUE
batch_3	10	14	B44_VEN_M	FALSE
batch_3	10	15	B15_RVA	FALSE
batch_3	10	16	A24_NYN	TRUE
